rapport_titel	search_title	matched_title	match_score	match_source	rep_nwoorden	rep_ttr	rep_hapax_ratio	rep_gem_zinslengte	rep_ratio_nominalisaties	rep_formele_taal_ratio	rep_ratio_afkortingen	category	report_type
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (VII)	Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (VII)	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	96.3	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van EZK	Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van EZK	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2019 Ministerie van Financiën en Nationale Schuld	95.5	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	98.8	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van Onderwijs, Cultuur en Wetenschap (VIII)	Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van Onderwijs, Cultuur en Wetenschap (VIII)	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	95.5	meta								OCW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van SZW (XV)	Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van SZW (XV)	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	86.1	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	89.2	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Staat van de rijksverantwoording 2019	over de Staat van de rijksverantwoording 2019	Staat van de rijksverantwoording 2019	90.2	meta								RIJKS	thematisch
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van LNV	Resultaten verantwoordingsonderzoek 2019 bij het Ministerie van LNV	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (VII)	Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (VII)	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	95.4	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Defensie (X)	Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Defensie (X)	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	94.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2020 Ministerie van Economische Zaken en Klimaat	Resultaten verantwoordingsonderzoek 2020 Ministerie van Economische Zaken en Klimaat	Resultaten verantwoordingsonderzoek 2020 Ministerie van Economische Zaken en Klimaat	100.0	meta								EZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2020 Ministerie van Infrastructuur en Waterstaat	Resultaten verantwoordingsonderzoek 2020 Ministerie van Infrastructuur en Waterstaat	Resultaten verantwoordingsonderzoek 2020 Ministerie van Infrastructuur en Waterstaat	100.0	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	97.7	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Landbouw, Natuur en Voedselkwaliteit	Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Landbouw, Natuur en Voedselkwaliteit	Resultaten verantwoordingsonderzoek 2020 Ministerie van Landbouw, Natuur en Voedselkwaliteit en Diergezondheidsfonds	87.0	meta								LNV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	97.9	meta								OCW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2020 Ministerie van Sociale Zaken en Werkgelegenheid	Resultaten verantwoordingsonderzoek 2020 Ministerie van Sociale Zaken en Werkgelegenheid	Resultaten verantwoordingsonderzoek 2020 Ministerie van Sociale Zaken en Werkgelegenheid	100.0	meta								SZW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Volksgezondheid, Welzijn en Sport	Resultaten verantwoordingsonderzoek 2020 bij het Ministerie van Volksgezondheid, Welzijn en Sport	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Volksgezondheid, Welzijn en Sport	97.9	meta								VWS	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij Buitenlandse Handel en Ontwikkelingssamenwerking	over de Resultaten verantwoordingsonderzoek 2021 bij Buitenlandse Handel en Ontwikkelingssamenwerking	Resultaten verantwoordingsonderzoek 2016 bij Buitenlandse Handel en Ontwikkelingssamenwerking	94.8	meta								BZ	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij de Koning	over de Resultaten verantwoordingsonderzoek 2021 bij de Koning	Resultaten verantwoordingsonderzoek 2015 bij de Koning	91.4	meta								AZ	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Buitenlandse Zaken	Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Buitenlandse Zaken	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Buitenlandse Zaken	98.8	meta								BZ	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	99.0	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2021 Ministerie van Financiën en Nationale Schuld	95.5	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Infrastructuur en Waterstaat	Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Infrastructuur en Waterstaat	Resultaten verantwoordingsonderzoek 2021 Ministerie van Infrastructuur en Waterstaat	95.5	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	98.8	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Sociale Zaken en Werkgelegenheid	Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Sociale Zaken en Werkgelegenheid	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Sociale Zaken en Werkgelegenheid	99.0	meta								SZW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 Koninkrijksrelaties en BES-fonds	over de Resultaten verantwoordingsonderzoek 2021 Koninkrijksrelaties en BES-fonds	Resultaten verantwoordingsonderzoek 2021 Koninkrijksrelaties en BES-fonds	94.8	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Landbouw, Natuur en Voedselkwaliteit	Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Landbouw, Natuur en Voedselkwaliteit	Resultaten verantwoordingsonderzoek 2021 Ministerie van Landbouw, Natuur en Voedselkwaliteit en Diergezondheidsfonds	87.0	meta								LNV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van EZK	Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van EZK	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2021 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	99.0	meta								OCW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer betreffende overkoepelende / overige vragen die betrekking hebben op rapporten resultaten verantwoordingsonderzoek 2022	betreffende overkoepelende / overige vragen die betrekking hebben op rapporten resultaten verantwoordingsonderzoek 2022		0.0										verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	97.2	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Economische Zaken en Klimaat	Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Economische Zaken en Klimaat	Resultaten verantwoordingsonderzoek 2022 Ministerie van Economische Zaken en Klimaat	95.5	meta								EZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Financiën	Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Financiën	Resultaten verantwoordingsonderzoek 2014 bij het Ministerie van Financiën	97.3	meta								FIN	verantwoordingsonderzoek
Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Infrastructuur en Waterstaat	Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Infrastructuur en Waterstaat	Resultaten verantwoordingsonderzoek 2022 Ministerie van Infrastructuur en Waterstaat	95.5	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	97.7	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	97.9	meta								OCW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Sociale Zaken en Werkgelegenheid	Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Sociale Zaken en Werkgelegenheid	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Sociale Zaken en Werkgelegenheid	97.9	meta								SZW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2022 bij Koninkrijksrelaties en het BES-fonds	over de Resultaten verantwoordingsonderzoek 2022 bij Koninkrijksrelaties en het BES-fonds	Resultaten verantwoordingsonderzoek 2016 bij Koninkrijksrelaties en BES-fonds	90.4	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Staat van de rijksverantwoording 2022	over de Staat van de rijksverantwoording 2022	Staat van de rijksverantwoording 2022	90.2	meta								RIJKS	thematisch
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Landbouw, Natuur en Voedselkwaliteit en het Diergezondheidsfonds	Resultaten verantwoordingsonderzoek 2022 bij het Ministerie van Landbouw, Natuur en Voedselkwaliteit en het Diergezondheidsfonds	Resultaten verantwoordingsonderzoek 2022 Ministerie van Landbouw, Natuur en Voedselkwaliteit en Diergezondheidsfonds	95.1	meta								LNV	verantwoordingsonderzoek
Staat van de rijksverantwoording 2023	Staat van de rijksverantwoording 2023	Staat van de rijksverantwoording 2023	100.0	meta								RIJKS	thematisch
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij Koninkrijksrelaties en het BES-fonds	over het Verantwoordingsonderzoek 2023 bij Koninkrijksrelaties en het BES-fonds	Resultaten verantwoordingsonderzoek 2023 Koninkrijksrelaties en BES-fonds	76.3	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij Buitenlandse Handel en Ontwikkelingssamenwerking	over het Verantwoordingsonderzoek 2023 bij Buitenlandse Handel en Ontwikkelingssamenwerking	Resultaten verantwoordingsonderzoek 2023 Buitenlandse Handel en Ontwikkelingssamenwerking	82.2	meta								BZ	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	over het Verantwoordingsonderzoek 2023 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Rapport bij het Jaarverslag 2011 van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	77.0	excel	4353.0	0.2201	0.5449	21.02	5.1	0.4266	3.65	BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Ministerie van Buitenlandse Zaken	over het Verantwoordingsonderzoek 2023 bij het Ministerie van Buitenlandse Zaken	Rapport bij het Jaarverslag 2011 van het Ministerie van Buitenlandse Zaken	70.1	excel	3503.0	0.2495	0.5378	20.65	6.65	0.4285	2.31	BZ	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Ministerie van BZK, EZK	over het Verantwoordingsonderzoek 2023 bij het Ministerie van BZK, EZK		0.0										verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Ministerie van Defensie	over het Verantwoordingsonderzoek 2023 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2023 Ministerie van Defensie	71.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Ministerie van Economische Zaken en Klimaat	over het Verantwoordingsonderzoek 2023 bij het Ministerie van Economische Zaken en Klimaat	Resultaten verantwoordingsonderzoek 2023 Ministerie van Economische Zaken en Klimaat	67.8	meta								EZK	verantwoordingsonderzoek
Verantwoordingsonderzoek Ministerie van Financiën en Nationale Schuld (IX), Rapport bij het Jaarverslag 2023	Verantwoordingsonderzoek Ministerie van Financiën en Nationale Schuld (IX), Rapport bij het Jaarverslag 2023	Resultaten verantwoordingsonderzoek 2023 Ministerie van Financiën en Nationale Schuld	72.5	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Ministerie van Infrastructuur en Waterstaat	over het Verantwoordingsonderzoek 2023 bij het Ministerie van Infrastructuur en Waterstaat	Aandachtspunten bij de ontwerpbegroting 2023 van het Ministerie van Infrastructuur en Waterstaat	65.6	excel	1680.0	0.3476	0.5942	21.89	5.36	0.4405	2.62		verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Ministerie van Justitie en Veiligheid	over het Verantwoordingsonderzoek 2023 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2023 Ministerie van Justitie en Veiligheid	72.8	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Ministerie van LNV	over het Verantwoordingsonderzoek 2023 bij het Ministerie van LNV		0.0										verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	over het Verantwoordingsonderzoek 2023 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Rapport bij het Jaarverslag 2011 van het Ministerie van Onderwijs, Cultuur en Wetenschap	74.7	excel	3303.0	0.224	0.4689	23.45	5.66	0.4423	3.48	OCW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Ministerie van Volksgezondheid, Welzijn en Sport	over het Verantwoordingsonderzoek 2023 bij het Ministerie van Volksgezondheid, Welzijn en Sport	Rapport bij het Jaarverslag 2011 van het Ministerie van Volksgezondheid, Welzijn en Sport	72.8	excel	4432.0	0.248	0.5532	21.28	5.73	0.421	3.41	VWS	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2023 bij het Mobiliteitsfonds	over het Verantwoordingsonderzoek 2023 bij het Mobiliteitsfonds	Resultaten verantwoordingsonderzoek 2022 Mobiliteitsfonds	73.3	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Staat van de rijksverantwoording 2024	over de Staat van de rijksverantwoording 2024	Staat van de rijksverantwoording 2024	90.2	meta								RIJKS	thematisch
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2024 bij het begrotingshoofdstuk Buitenlandse Handel en Ontwikkelingssamenwerking	over het Verantwoordingsonderzoek 2024 bij het begrotingshoofdstuk Buitenlandse Handel en Ontwikkelingssamenwerking	Resultaten verantwoordingsonderzoek 2024 Buitenlandse Handel en Ontwikkelingssamenwerking	72.5	meta								BZ	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2024 bij het ministerie van Binnenlandse Zaken en Koninkrijksrelaties	over het Verantwoordingsonderzoek 2024 bij het ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Rapport bij het Jaarverslag 2011 van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	69.0	excel	4353.0	0.2201	0.5449	21.02	5.1	0.4266	3.65	BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2024 bij het ministerie van Buitenlandse Zaken	over het Verantwoordingsonderzoek 2024 bij het ministerie van Buitenlandse Zaken		0.0										verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2024 bij het ministerie van Defensie en het Defensiematerieelbegrotingsfonds	over het Verantwoordingsonderzoek 2024 bij het ministerie van Defensie en het Defensiematerieelbegrotingsfonds	Aandachtspunten bij de ontwerpbegroting 2024 van het Ministerie van Defensie en het Defensiematerieelbegrotingsfonds	71.7	excel	1324.0	0.3588	0.6547	23.69	4.08	0.4154	2.49		verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2024 bij het ministerie van Economische Zaken en Klimaat	over het Verantwoordingsonderzoek 2024 bij het ministerie van Economische Zaken en Klimaat	Aandachtspunten bij de ontwerpbegroting 2024 van het Ministerie van Economische Zaken en Klimaat	65.6	excel	2236.0	0.2876	0.5645	19.33	4.11	0.4101	3.67		verantwoordingsonderzoek
Verantwoordingsonderzoek ministerie van Financiën (IX), Rapport bij het Jaarverslag 2024	Verantwoordingsonderzoek ministerie van Financiën (IX), Rapport bij het Jaarverslag 2024		0.0										verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2024 bij het ministerie van Infrastructuur en Waterstaat (XII), het Mobiliteitsfonds (A) en het Deltafonds (J)	over het Verantwoordingsonderzoek 2024 bij het ministerie van Infrastructuur en Waterstaat (XII), het Mobiliteitsfonds (A) en het Deltafonds (J)		0.0										verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2024 bij het ministerie van Onderwijs, Cultuur en Wetenschap	over het Verantwoordingsonderzoek 2024 bij het ministerie van Onderwijs, Cultuur en Wetenschap		0.0										verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Verantwoordingsonderzoek 2024 bij het ministerie van SZW	over het Verantwoordingsonderzoek 2024 bij het ministerie van SZW		0.0										verantwoordingsonderzoek
Verantwoordingsonderzoek 2024 bij Koninkrijksrelaties en het BES-fonds, Rapport bij het Jaarverslag 2024	Verantwoordingsonderzoek 2024 bij Koninkrijksrelaties en het BES-fonds, Rapport bij het Jaarverslag 2024	Resultaten verantwoordingsonderzoek 2022 Koninkrijksrelaties en BES-fonds	70.1	meta								BZK	verantwoordingsonderzoek
Beantwoording mondelinge vragen Tweede Kamer tijdens technische briefing over het Verantwoordingsonderzoek 2024 bij het begrotingshoofdstuk BHOS	Beantwoording mondelinge vragen Tweede Kamer tijdens technische briefing over het Verantwoordingsonderzoek 2024 bij het begrotingshoofdstuk BHOS		0.0										verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer bij EU-trendrapport 2013	bij EU-trendrapport 2013	EU-trendrapport 2013	90.9	excel	4406.0	0.2547	0.6025	24.01	4.04	0.4505	5.79	RIJKS	thematisch
Beantwoording vragen Tweede Kamer over de Staat van de rijksverantwoording 2021	over de Staat van de rijksverantwoording 2021	Staat van de rijksverantwoording 2021	90.2	meta								RIJKS	thematisch
